id,language,hotel_name,address,landmark,description
ex_038,es,Estancia Arroyo Sauce,"Avenida Kingsway 204, Edgemont",,"Bienvenido a Estancia Arroyo Sauce, una estancia cómoda con Wi‑Fi rápido y recepción 24h. Nos encuentras en Avenida Kingsway 204, Edgemont."
ex_039,en,,,,A cozy stay with fast Wi‑Fi and a quiet lobby.
ex_040,,Willow Creek Stay,"19 Riverside Drive, Brookhaven",,"Welcome to Willow Creek Stay, a cozy stay with fast Wi‑Fi and a quiet lobby. Find us at 19 Riverside Drive, Brookhaven."
ex_041,,Golden Key Hotel,"42 Greenleaf Park Rd, Hillgate",City Aquarium,"Welcome to Golden Key Hotel, a cozy stay with fast Wi‑Fi and a quiet lobby. Find us at 42 Greenleaf Park Rd, Hillgate. Just minutes from City Aquarium and great local cafés."
ex_042,,Gran Hotel Marigold,"Paseo del Río 19, Brookhaven",Paseo del Puerto,"Bienvenido a Gran Hotel Marigold, una estancia cómoda con Wi‑Fi rápido y recepción 24h. Nos encuentras en Paseo del Río 19, Brookhaven. A pocos minutos de Paseo del Puerto y de cafeterías locales."
ex_043,,Hôtel Port-Érable,"77 allée des Saules, Northbridge",Jardin botanique royal,"Bienvenue à Hôtel Port-Érable, un séjour confortable avec Wi‑Fi rapide et réception 24h/24. Adresse : 77 allée des Saules, Northbridge. À quelques minutes de Jardin botanique royal et de cafés locaux."
ex_044,fr,Plaza Pont-du-Nord,"204 avenue Kingsway, Edgemont",Jardin botanique royal,"Bienvenue à Plaza Pont-du-Nord, un séjour confortable avec Wi‑Fi rapide et réception 24h/24. Adresse : 204 avenue Kingsway, Edgemont. À quelques minutes de Jardin botanique royal et de cafés locaux."
ex_045,fr,,,,Un séjour confortable avec Wi‑Fi rapide et réception 24h/24.
ex_046,en,Northbridge Plaza,"19 Riverside Drive, Brookhaven",,"Welcome to Northbridge Plaza, a cozy stay with fast Wi‑Fi and a quiet lobby. Find us at 19 Riverside Drive, Brookhaven."
ex_047,es,Posada Mirador del Río,"Calle Puente de Piedra 10, Casco Antiguo",Jardín Botánico Real,"Bienvenido a Posada Mirador del Río, una estancia cómoda con Wi‑Fi rápido y recepción 24h. Nos encuentras en Calle Puente de Piedra 10, Casco Antiguo. A pocos minutos de Jardín Botánico Real y de cafeterías locales."
ex_048,fr,,"77 allée des Saules, Northbridge",Place de la Liberté,"Un séjour confortable avec Wi‑Fi rapide et réception 24h/24. Adresse : 77 allée des Saules, Northbridge. À quelques minutes de Place de la Liberté et de cafés locaux."
ex_049,,Plaza Pont-du-Nord,,,"Bienvenue à Plaza Pont-du-Nord, un séjour confortable avec Wi‑Fi rapide et réception 24h/24."
ex_050,,Hotel Patio Skyline,,,"Bienvenido a Hotel Patio Skyline, una estancia cómoda con Wi‑Fi rápido y recepción 24h."
