language,location,hotel_name,landmark,address,description
tr,"İstanbul, Türkiye",Kule Han Hotel,Galata Kulesi,"Büyük Hendek Cd. 14, Beyoğlu, İstanbul","Han, Büyük Hendek Cd. 14, Beyoğlu, İstanbul, Galata Kulesi’ne yakın; hızlı Wi‑Fi, ücretsiz çay-kahve ve erken kahvaltı seçeneği."
tr,"İstanbul, Türkiye",Grand Plaza Taksim,Taksim Meydanı,"Sıraselviler Cd. 9, İstanbul","Grand Plaza, Sıraselviler Cd. 9, İstanbul, Taksim Meydanı çevresinde; ses yalıtımı, 24 saat resepsiyon ve havaalanı transferi."
tr,"Antalya, Türkiye",Sahil Yolu Oteli,Konyaaltı Plajı,"Sahil Yolu Sk. 3, Antalya","Sahil Yolu, Sahil Yolu Sk. 3, Antalya, Konyaaltı Plajı’na yürüyüş mesafesinde; havuz, çocuk menüsü ve plaj havlusu."
ar,دبي، الإمارات,فندق النخيل دبي,برج خليفة,شارع الشيخ محمد بن راشد، دبي,يقع النخيل في شارع الشيخ محمد بن راشد، دبي قرب برج خليفة، مع غرف بإطلالة، إفطار بوفيه، وخدمة نقل للمطار عند الطلب.
ar,الرياض، السعودية,غراند بلازا المطار,مطار الملك خالد الدولي,طريق المطار 200، الرياض,غراند بلازا، طريق المطار 200، الرياض، قريب من مطار الملك خالد الدولي، مع تسجيل دخول سريع، غرف هادئة، ومقهى يعمل 24 ساعة.
ar,القاهرة، مصر,فندق ساحة التحرير,ميدان التحرير,شارع القصر العيني 5، القاهرة,ساحة التحرير، شارع القصر العيني 5، القاهرة، بجوار ميدان التحرير، مع مكتب استقبال، خدمة غرف، وتراس يطل على وسط المدينة.
ar,جدة، السعودية,فندق الكورنيش,كورنيش جدة,طريق الكورنيش 10، جدة,الكورنيش، طريق الكورنيش 10، جدة، بالقرب من كورنيش جدة، مع غرف عائلية، مواقف مجانية، وإطلالة على البحر.
ja,"東京, 日本",浅草グランドプラザ,浅草寺,東京都台東区浅草2-1-5,グランドプラザは東京都台東区浅草2-1-5、浅草寺の近く。大浴場、荷物預かり、朝食ビュッフェあり。
ja,"東京, 日本",銀座セントラルホテル,銀座駅,東京都中央区銀座4-2-1,Ginza Centralは東京都中央区銀座4-2-1、銀座駅から徒歩圏内。高速Wi‑Fi、静かな客室、コーヒーサービス。
ja,"京都, 日本",桜ホテル京都,清水寺,京都府京都市東山区清水1-10,桜は京都府京都市東山区清水1-10、清水寺へ行きやすい立地。和朝食、レンタサイクル、セルフランドリー。
ja,"大阪, 日本",グランドホテル大阪,大阪城,大阪府大阪市中央区大手前1-1,グランドは大阪府大阪市中央区大手前1-1、大阪城の近く。ジム、ルームサービス、レイトチェックアウト対応。
zh,上海，中国,上海外滩大酒店,外滩,上海市黄浦区中山东一路88号,外滩酒店位于上海市黄浦区中山东一路88号，靠近外滩；江景房、健身房、行李寄存和自助早餐。
zh,北京，中国,大广场酒店北京,天安门广场,北京市东城区长安街1号,大广场在北京市东城区长安街1号，距离天安门广场不远；24小时前台、安静客房、会议室和机场接送预约。
zh,成都，中国,人民路酒店,宽窄巷子,成都市人民路99号,人民路酒店在成都市人民路99号，去宽窄巷子很方便；提供洗衣服务、家庭房、免费茶水和叫车服务。
zh,广州，中国,人民公园酒店,人民公园,广州市越秀区公园路8号,公园酒店位于广州市越秀区公园路8号，靠近人民公园；早餐、停车位、遮光窗帘和夜间安保。
